timestamp,zone,co_mg_m3,temperature_c,humidity_percent,future_co_4hr,risk_category,audit_status
2026-07-01 00:00:00,Zone Alpha (Industrial),2.08,22.7,74.6,1.95,Low,Valid
2026-07-01 00:00:00,Zone Beta (Residential),0.93,24.4,77.3,0.74,Low,Valid
2026-07-01 00:00:00,Zone Gamma (Commercial),0.71,22.4,69.3,0.5,Low,Valid
2026-07-01 04:00:00,Zone Alpha (Industrial),2.49,20.8,70.3,1.75,Low,Valid
2026-07-01 04:00:00,Zone Beta (Residential),0.71,21.4,74.8,0.5,Low,Incomplete
2026-07-01 08:00:00,Zone Gamma (Commercial),1.5,23.5,65.2,1.2,Low,Valid
2026-07-01 10:00:00,Zone Alpha (Industrial),4.12,28.4,55.1,3.8,Medium,Valid
2026-07-01 10:00:00,Zone Beta (Residential),2.85,27.9,58.3,2.4,Low,Valid
2026-07-01 12:00:00,Zone Gamma (Commercial),4.95,31.2,45.6,4.5,Medium,Valid
2026-07-01 13:00:00,Zone Alpha (Industrial),7.85,34.5,40.1,7.2,High,Valid
2026-07-01 13:00:00,Zone Beta (Residential),3.15,32.1,44.5,3.0,Low,Valid
2026-07-01 15:00:00,Zone Alpha (Industrial),5.45,33.8,42.3,5.1,Medium,Incomplete
2026-07-01 16:00:00,Zone Gamma (Commercial),4.2,31.0,48.9,3.9,Medium,Valid
2026-07-01 18:00:00,Zone Alpha (Industrial),3.8,28.5,55.0,3.2,Medium,Valid
2026-07-01 19:00:00,Zone Beta (Residential),1.9,26.4,60.2,1.5,Low,Valid
2026-07-01 22:00:00,Zone Alpha (Industrial),2.1,23.1,68.5,1.8,Low,Valid
2026-07-02 02:00:00,Zone Gamma (Commercial),0.8,21.0,75.0,0.6,Low,Valid
2026-07-02 07:00:00,Zone Alpha (Industrial),3.5,25.4,62.1,3.1,Medium,Valid
2026-07-02 09:00:00,Zone Beta (Residential),2.1,26.8,58.9,2.0,Low,Valid
2026-07-02 11:00:00,Zone Alpha (Industrial),6.2,30.5,48.2,5.8,High,Valid
2026-07-02 11:00:00,Zone Gamma (Commercial),3.8,29.9,50.1,3.6,Medium,Valid
2026-07-02 14:00:00,Zone Alpha (Industrial),8.1,35.2,38.4,7.5,High,Incomplete
2026-07-02 14:00:00,Zone Beta (Residential),4.2,33.1,42.0,4.0,Medium,Valid
2026-07-02 17:00:00,Zone Gamma (Commercial),3.1,30.2,49.5,2.9,Low,Valid
2026-07-02 20:00:00,Zone Alpha (Industrial),2.7,26.5,58.4,2.4,Low,Valid
2026-07-02 23:00:00,Zone Beta (Residential),1.2,23.8,66.7,1.0,Low,Valid
